frame_id,block_id,row,col,importance,motion,initial_mode,final_mode,rule_applied,downgraded_by_budget,final_latency_ms
34,r2c1,2,1,0.28,0.3,fast,fast,low_block_use_fast,False,123.0
34,r2c2,2,2,0.34,0.36,fast,fast,low_block_use_fast,False,123.0
35,r0c0,0,0,0.1,0.28,skip,skip,unimportant_block_skip,False,133.0
35,r0c1,0,1,0.5,0.32,balanced,balanced,medium_block_use_balanced,False,133.0
35,r0c2,0,2,0.03,0.04,skip,skip,unimportant_block_skip,False,133.0
35,r1c0,1,0,0.32,0.34,fast,fast,low_block_use_fast,False,133.0
35,r1c1,1,1,0.75,0.46,balanced,balanced,medium_block_use_balanced,False,133.0
35,r1c2,1,2,0.45,0.4,fast,fast,low_block_use_fast,False,133.0
35,r2c0,2,0,0.79,0.37,balanced,balanced,medium_block_use_balanced,False,133.0
35,r2c1,2,1,0.82,0.67,accurate,accurate,important_block_use_accurate,False,133.0
35,r2c2,2,2,0.75,0.39,balanced,balanced,medium_block_use_balanced,False,133.0
36,r0c0,0,0,0.24,0.13,fast,fast,low_block_use_fast,False,141.0
36,r0c1,0,1,0.3,0.35,fast,fast,low_block_use_fast,False,141.0
36,r0c2,0,2,0.5,0.65,balanced,balanced,medium_block_use_balanced,False,141.0
36,r1c0,1,0,0.45,0.44,fast,fast,low_block_use_fast,False,141.0
36,r1c1,1,1,0.54,0.56,balanced,balanced,medium_block_use_balanced,False,141.0
36,r1c2,1,2,1.0,0.76,accurate,accurate,important_block_use_accurate,False,141.0
36,r2c0,2,0,0.06,0.3,skip,skip,unimportant_block_skip,False,141.0
36,r2c1,2,1,0.54,0.23,balanced,balanced,medium_block_use_balanced,False,141.0
